GID_0,GID_1,GID_3,population,area_km2,population_km2
BGD,BGD.3,BGD.3.14.1_1,219840.5855,239,919.8350857
BGD,BGD.3,BGD.3.14.2_1,125619.9345,154,815.7138605
BGD,BGD.3,BGD.3.14.3_1,128892.1007,165,781.1642464
BGD,BGD.3,BGD.3.14.4_1,276610.6547,255,1084.747666
BGD,BGD.3,BGD.3.14.5_1,397196.0004,326,1218.392639
BGD,BGD.3,BGD.3.15.1_1,290142.5539,294,986.8794349
BGD,BGD.3,BGD.3.15.2_1,117601.5887,96,1225.016549
BGD,BGD.3,BGD.3.15.3_1,140359.5508,169,830.5298864
BGD,BGD.3,BGD.3.15.4_1,247147.4295,242,1021.27037
BGD,BGD.3,BGD.3.15.5_1,217407.6696,176,1235.27085
BGD,BGD.3,BGD.3.15.6_1,198479.7821,258,769.3014809
BGD,BGD.3,BGD.3.16.1_1,172429.7658,210,821.0941229
BGD,BGD.3,BGD.3.16.2_1,187436.0804,174,1077.218853
BGD,BGD.3,BGD.3.16.3_1,265294.4604,327,811.2980441
BGD,BGD.3,BGD.3.16.4_1,537716.3409,358,1502.000952
BGD,BGD.3,BGD.3.16.5_1,274962.4954,256,1074.072248
BGD,BGD.3,BGD.3.17.1_1,178417.2848,165,1081.316878
BGD,BGD.3,BGD.3.17.2_1,194752.2559,232,839.4493788
BGD,BGD.3,BGD.3.17.3_1,222128.2975,168,1322.192247
BGD,BGD.3,BGD.3.17.4_1,200957.7349,129,1557.811899
BGD,BGD.3,BGD.3.17.5_1,446060.6641,452,986.8598763
BGD,BGD.3,BGD.3.17.6_1,235354.3323,190,1238.707012
BGD,BGD.3,BGD.3.17.7_1,446553.8742,295,1513.741946
BGD,BGD.3,BGD.3.17.8_1,305412.7683,366,834.4611157
BGD,BGD.3,BGD.3.17.9_1,437986.0038,363,1206.573013
BGD,BGD.3,BGD.3.17.10_1,300776.6593,248,1212.80911
BGD,BGD.3,BGD.3.17.11_1,308154.7348,437,705.1595761
BGD,BGD.3,BGD.3.17.12_1,579038.0459,320,1809.493894
BGD,BGD.4,BGD.4.1.1_1,276003.6681,311,887.4716016
BGD,BGD.4,BGD.4.1.2_1,166937.5446,197,847.3987037
BGD,BGD.4,BGD.4.1.3_1,130175.6969,161,808.5447011
BGD,BGD.4,BGD.4.1.4_1,103025.3133,129,798.6458392
BGD,BGD.4,BGD.4.1.5_1,110085.8767,177,621.9541057
BGD,BGD.4,BGD.4.1.6_1,123136.1894,1321,93.21437502
BGD,BGD.4,BGD.4.1.7_1,279044.7958,438,637.0885749
BGD,BGD.4,BGD.4.1.8_1,122140.1302,277,440.9390982
BGD,BGD.4,BGD.4.1.9_1,116566.4205,657,177.4222535
BGD,BGD.4,BGD.4.2.1_1,399438.4535,366,1091.361895
BGD,BGD.4,BGD.4.2.2_1,359485.0068,290,1239.603472
BGD,BGD.4,BGD.4.2.3_1,294943.1609,305,967.0267572
