GID_0,NAME_0,GID_1,NAME_1,NL_NAME_1,GID_2,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2,area_m2
USA,United States,USA.47_1,Virginia,,USA.47.19_1,Buena Vista,,,Independent City,Independent City,,US.VA.BE,17876703
USA,United States,USA.47_1,Virginia,,USA.47.20_1,Campbell,,,County,County,,US.VA.CM,1298858267
USA,United States,USA.47_1,Virginia,,USA.47.21_1,Caroline,,,County,County,,US.VA.CI,1374022337
USA,United States,USA.47_1,Virginia,,USA.47.22_1,Carroll,,,County,County,,US.VA.CL,1241335113
USA,United States,USA.47_1,Virginia,,USA.47.23_1,Charles City,,,County,County,,US.VA.CC,498073364
USA,United States,USA.47_1,Virginia,,USA.47.24_1,Charlotte,,,County,County,,US.VA.CT,1232712347
USA,United States,USA.47_1,Virginia,,USA.47.25_1,Charlottesville,,,Independent City,Independent City,,US.VA.CE,30474046
USA,United States,USA.47_1,Virginia,,USA.47.26_1,Chesapeake,,,Independent City,Independent City,,US.VA.CS,906620196
USA,United States,USA.47_1,Virginia,,USA.47.27_1,Chesterfield,,,County,County,,US.VA.CD,1142035446
USA,United States,USA.47_1,Virginia,,USA.47.28_1,Clarke,,,County,County,,US.VA.CK,458984254
USA,United States,USA.47_1,Virginia,,USA.47.29_1,Clifton Forge City,,,Independent City,Independent City,,US.VA.CF,9046030
USA,United States,USA.47_1,Virginia,,USA.47.30_1,Colonial Heights,,,Independent City,Independent City,,US.VA.CH,24169891
USA,United States,USA.47_1,Virginia,,USA.47.31_1,Covington,,,Independent City,Independent City,,US.VA.CV,14336639
USA,United States,USA.47_1,Virginia,,USA.47.32_1,Craig,,,County,County,,US.VA.CG,851967466
USA,United States,USA.47_1,Virginia,,USA.47.33_1,Culpeper,,,County,County,,US.VA.CP,994395141
USA,United States,USA.47_1,Virginia,,USA.47.34_1,Cumberland,,,County,County,,US.VA.CU,775295126
USA,United States,USA.47_1,Virginia,,USA.47.35_1,Danville,,,Independent City,Independent City,,US.VA.DA,114475128
USA,United States,USA.47_1,Virginia,,USA.47.36_1,Dickenson,,,County,County,,US.VA.DC,867619931
USA,United States,USA.47_1,Virginia,,USA.47.37_1,Dinwiddie,,,County,County,,US.VA.DN,1314276324
USA,United States,USA.47_1,Virginia,,USA.47.38_1,Emporia,,,Independent City,Independent City,,US.VA.EM,18417644
USA,United States,USA.47_1,Virginia,,USA.47.39_1,Essex,,,County,County,,US.VA.ES,672868584
USA,United States,USA.47_1,Virginia,,USA.47.40_1,Fairfax,,,County,County,,US.VA.FC,1044824628
USA,United States,USA.47_1,Virginia,,USA.47.41_1,Fairfax City,,,City,County,,US.VA.FC,15853643
USA,United States,USA.47_1,Virginia,,USA.47.42_1,Falls Church,,,Independent City,Independent City,,US.VA.FU,5121049
USA,United States,USA.47_1,Virginia,,USA.47.43_1,Fauquier,,,County,County,,US.VA.FQ,1691850884
USA,United States,USA.47_1,Virginia,,USA.47.44_1,Floyd,,,County,County,,US.VA.FO,987171606
